"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";" ";"1997";" ";" ";"1998";" ";" ";"1999";" ";" ";"2000";" ";" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"  Makedonija";203;173;30;525;513;12;538;512;26;333;285;48;259;225;34;784;784;0;1269;988;281;1202;791;411;938;886;52;580;547;33;1219;1109;110;1551;1260;291;806;630;176;1720;1477;243;1359;1079;280;676;512;164;563;391;172;479;306;173;460;245;215;409;236;173;406;234;172;457;257;200
" ";"  Nemèija";28;17;11;79;49;30;25;20;5;17;11;6;23;10;13;29;25;4;2;2;0;21;11;10;121;78;43;10;8;2;100;65;35;175;112;63;127;73;54;123;70;53;136;90;46;96;50;46;92;58;34;124;72;52;82;51;31;112;72;40;65;40;25;94;66;28
" ";"  Nizozemska";6;4;2;2;1;1;4;2;2;7;4;3;6;4;2;19;11;8;9;5;4;20;15;5;21;16;5;7;7;0;19;9;10;23;16;7;25;16;9;12;8;4;25;17;8;17;15;2;11;8;3;18;17;1;6;5;1;6;5;1;11;5;6;15;11;4
" ";"  Poljska";55;53;2;2;0;2;3;1;2;8;2;6;6;1;5;33;32;1;4;2;2;15;5;10;18;8;10;47;43;4;117;79;38;79;53;26;43;26;17;47;27;20;40;23;17;21;10;11;37;14;23;42;22;20;42;26;16;69;56;13;18;9;9;34;14;20
" ";"  Romunija";3;3;0;25;12;13;22;4;18;11;3;8;29;11;18;35;31;4;1;0;1;31;20;11;135;87;48;292;189;103;286;176;110;138;98;40;46;22;24;111;79;32;48;18;30;61;37;24;62;38;24;56;35;21;147;124;23;114;96;18;85;57;28;105;87;18
" ";"  Ruska federacija";48;21;27;123;16;107;69;18;51;17;6;11;47;20;27;36;36;0;112;48;64;102;26;76;47;6;41;35;20;15;42;14;28;61;19;42;49;12;37;59;25;34;41;18;23;49;24;25;57;26;31;52;26;26;94;40;54;161;85;76;185;103;82;254;138;116
" ";"  Slovenija";803;390;413;807;443;364;705;363;342;963;525;438;1559;806;753;1442;743;699;2624;1286;1338;1887;952;935;2265;1243;1022;2077;982;1095;2703;1315;1388;3178;1523;1655;4766;2316;2450;3717;1984;1733;3905;2064;1841;4679;2510;2169;8191;4214;3977;7789;4059;3730;8129;4376;3753;8654;4691;3963;8818;4685;4133;9871;5217;4654
" ";"  Srbija";492;331;161;1270;1177;93;3309;2895;414;278;196;82;471;418;53;437;385;52;485;364;121;359;230;129;1302;1165;137;1639;1561;78;2995;2796;199;2358;2100;258;1393;1171;222;2207;1954;253;1255;1028;227;631;483;148;519;392;127;686;521;165;848;641;207;798;596;202;707;546;161;854;713;141
" ";"  Švedska";1;0;1;8;5;3;7;5;2;5;3;2;3;3;0;2;2;0;5;4;1;10;6;4;10;7;3;0;0;0;12;11;1;33;20;13;9;7;2;11;6;5;18;11;7;18;14;4;13;9;4;18;10;8;10;7;3;18;12;6;7;6;1;10;7;3
" ";"  Švica";3;0;3;4;0;4;3;0;3;13;8;5;1;1;0;21;11;10;2;1;1;11;5;6;4;3;1;1;1;0;8;2;6;14;7;7;15;7;8;5;2;3;7;2;5;10;5;5;8;5;3;6;4;2;11;8;3;10;6;4;5;5;0;7;6;1
