"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";"1997";" ";"1998";" ";"1999";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2017";" "
" ";" ";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"  Slovenija";390;413;443;364;363;342;525;438;806;753;743;699;1286;1338;952;935;1243;1022;982;1095;1315;1388;1523;1655;2316;2450;1984;1733;2064;1841;2510;2169;4214;3977;4059;3730;4376;3753;4691;3963;4685;4133;5217;4654
" ";"  Srbija";331;161;1177;93;2895;414;196;82;418;53;385;52;364;121;230;129;1165;137;1561;78;2796;199;2100;258;1171;222;1954;253;1028;227;483;148;392;127;521;165;641;207;596;202;546;161;713;141
" ";"  Švedska";0;1;5;3;5;2;3;2;3;0;2;0;4;1;6;4;7;3;0;0;11;1;20;13;7;2;6;5;11;7;14;4;9;4;10;8;7;3;12;6;6;1;7;3
" ";"  Švica";0;3;0;4;0;3;8;5;1;0;11;10;1;1;5;6;3;1;1;0;2;6;7;7;7;8;2;3;2;5;5;5;5;3;4;2;8;3;6;4;5;0;6;1
" ";"  Ukrajina";2;11;2;44;41;83;17;32;12;49;120;42;120;119;19;2;148;156;145;154;146;203;112;168;26;126;71;147;54;109;39;83;42;79;40;63;36;60;33;46;39;56;67;55
" ";"  Združeno kraljestvo";4;6;9;0;7;3;3;7;9;0;15;15;20;4;9;71;26;17;19;6;35;14;45;26;31;20;45;32;51;26;39;26;48;30;48;28;38;18;33;22;27;13;34;20
" ";"  Druge države Evrope";5;13;27;22;93;96;55;10;49;18;104;20;26;23;97;61;313;66;145;37;269;132;333;148;218;75;202;118;142;112;170;89;118;96;103;97;100;85;117;98;101;84;93;72
" ";"AFRIKA";11;5;26;2;7;3;13;5;6;0;10;1;9;1;15;0;9;3;8;6;9;4;11;17;11;3;14;8;16;12;23;7;21;6;25;7;25;8;22;6;30;12;35;8
" ";"AZIJA";37;23;55;25;59;35;25;13;16;21;29;38;72;44;68;68;72;24;49;38;73;57;121;107;36;42;79;77;120;119;118;86;109;70;75;77;108;90;94;88;102;81;132;107
" ";"JUŽNA AMERIKA";4;2;2;5;6;4;10;1;6;3;19;5;11;6;12;9;6;4;9;1;4;6;10;12;2;5;10;7;12;15;13;9;13;11;6;15;3;12;11;9;9;13;13;17
" ";"SEVERNA IN SREDNJA AMERIKA";24;18;12;10;16;19;14;5;22;19;26;20;7;44;26;25;28;15;25;20;50;35;72;87;34;34;53;72;43;80;37;51;36;49;35;59;37;36;43;35;47;45;33;37
" ";"  Kanada";7;1;1;0;1;0;2;2;3;1;3;1;0;0;2;2;0;1;2;1;6;7;4;6;6;3;7;7;5;5;3;1;4;5;6;3;3;0;2;2;3;4;4;2
" ";"  Združene države";17;15;10;10;15;18;12;3;19;17;21;17;7;42;14;12;24;13;20;8;40;18;63;62;25;17;36;28;26;16;27;17;20;19;22;26;30;22;34;24;34;32;23;22
" ";"  Druge države Severne in Srednje Amerike";0;2;1;0;0;1;0;0;0;1;2;2;0;2;10;11;4;1;3;11;4;10;5;19;3;14;10;37;12;59;7;33;12;25;7;30;4;14;7;9;10;9;6;13
" ";"AVSTRALIJA IN OCEANIJA";1;2;1;1;0;0;3;2;2;0;1;3;9;10;6;1;3;0;7;1;4;0;11;6;4;3;5;2;10;5;10;1;4;6;5;4;11;4;10;6;5;4;11;1
