 ;1995; ; ; ;1996; ; ; ;1997; ; ; ;1998; ; ; ;1999; ; ; ;2000; ; ; ;2001; ; ; ;2002; ; ; ;2003; ; ; ;2004; ; ; ;2005; ; ; ;2006; ; ; ;2007; ; ; ;2008; ; ; ;2009; ; ; ;2010; ; ; ;2011; ; ; ;2012; ; ; ;2013; ; ; ;2014; ; ; ;2015; ; ; ;2016; ; ; ;2017; ; ; 
 ;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske
Središèe ob Dravi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;5;21;20;25;16;42;58;11;1;3;4;4;4;9;4;7;6;5;4;4;3;3;2;2;1;2;3;3;4;16;5;5;1;8;5;3;0;20;11;13;2;11;6
Starše;2;1;0;0;2;1;0;1;0;0;0;0;0;0;1;1;0;0;2;2;2;1;0;0;2;3;0;1;2;6;1;1;1;1;0;2;3;2;4;2;5;1;3;3;5;2;4;4;9;3;4;7;29;3;8;14;13;5;15;5;11;2;6;1;7;5;9;5;7;5;11;8;7;2;13;15;2;3;9;6;8;5;15;7;14;2;17;10;7;3;7;2
Straža;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;7;16;16;27;15;5;1;20;4;11;5;9;4;5;2;15;7;4;4;14;8;11;2;5;7;14;12;15;6;15;13;16;7;15;6;17;8;7;4;35;14;11;4
Sveta Ana;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;1;1;0;0;0;1;1;1;0;0;0;1;2;1;1;0;2;2;2;0;0;1;0;2;1;1;0;5;5;1;1;3;6;1;2;15;17;1;0;4;2;7;3;4;3;3;3;2;2;3;2;11;2;4;1;5;6;3;4;3;8;0;3;3;4;2;3;7;4;1;3;5;6
Sveta Trojica v Slov. goricah;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;3;33;7;3;5;21;16;4;1;1;0;0;2;0;4;1;3;2;3;1;2;6;6;2;1;5;4;0;1;3;3;1;3;4;5;4;3;5;4;4;2;8;7
Sveti Andraž v Slov. goricah;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;0;0;0;0;0;1;0;0;0;1;2;1;4;1;1;0;1;0;0;2;2;1;2;4;0;0;1;4;2;1;0;0;2;1;0;2;3;1;2;2;2;0;1;3;7;1;1;1;2;0;0;7;7;0;1;4;7;5;3;2;2;2;1;7;5;3;1;2;2;2;1;3;3
Sveti Jurij ob Šèavnici;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;2;0;1;4;2;2;0;4;3;0;1;6;5;2;3;5;5;2;4;4;3;2;2;5;8;4;2;3;2;18;1;7;4;22;3;6;3;10;4;10;8;11;6;10;2;5;4;4;3;5;2;4;6;5;4;7;3;8;4;3;3;5;5;1;3;2;3;9;5;6;3;11;11;3;2;9;5
Sveti Jurij v Slov. goricah;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;2;2;8;1;1;17;19;6;1;3;0;3;0;2;2;0;1;2;1;4;1;2;3;0;0;3;3;1;5;5;1;0;0;2;4;1;3;2;3;3;0;2;2
Sveti Tomaž;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;1;2;1;3;35;18;2;0;0;0;1;1;0;0;2;1;2;0;1;0;0;1;1;1;2;8;0;1;1;2;0;0;0;3;0;0;6;3;5;2;1;4
Šalovci;0;0;1;0;0;1;8;6;1;0;1;1;3;0;2;1;1;0;6;2;2;1;1;0;0;2;4;0;2;1;4;3;1;2;0;4;1;1;1;2;0;0;0;0;4;1;0;1;0;2;9;7;1;6;2;2;2;1;3;2;0;0;2;2;4;1;7;4;4;3;7;6;2;2;6;2;3;1;5;5;0;0;5;9;1;1;1;2;3;1;6;5
Šempeter - Vrtojba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;4;3;1;4;12;5;2;35;7;1;3;40;20;19;18;36;18;19;14;41;22;32;5;32;18;26;9;56;18;31;10;100;35;37;19;88;24;38;7;110;41;63;21;36;19;51;15;40;26;25;8;38;33;39;7;35;24;24;17;42;24;31;20;35;28;38;27;36;19;42;26;42;14;36;20
Šenèur;1;3;6;1;1;1;1;0;0;1;1;0;3;2;5;2;4;7;2;4;7;5;11;6;3;4;1;9;8;11;3;6;21;10;11;6;26;7;21;5;32;20;21;10;37;23;34;16;74;28;32;15;95;37;23;11;131;27;44;11;74;32;79;18;28;23;40;16;37;26;26;13;34;15;20;17;38;8;12;11;37;21;28;10;56;17;27;26;46;10;40;15
Šentilj;3;0;1;0;1;2;1;0;1;1;0;4;2;0;0;0;2;1;0;0;1;2;0;5;0;2;0;5;5;5;0;1;12;5;15;12;24;13;2;5;24;15;8;4;41;24;45;17;29;14;19;17;15;11;20;23;15;17;10;7;18;14;14;9;11;11;23;18;15;15;20;22;6;11;32;22;17;9;20;9;12;15;30;10;17;9;27;21;46;17;26;23
Šentjernej;5;4;2;1;2;2;2;4;0;0;0;1;5;3;5;0;1;2;2;1;6;0;1;1;9;1;7;0;5;3;6;3;2;3;7;1;6;3;2;1;13;2;3;6;14;6;13;4;32;2;17;3;16;3;10;1;29;5;18;11;16;5;16;3;20;9;28;5;20;10;17;3;16;4;13;8;14;9;12;8;11;8;18;12;25;4;10;8;5;4;27;10
Šentjur;4;6;2;3;9;5;4;5;1;2;5;3;12;12;34;4;3;5;4;4;38;12;26;9;20;15;30;2;33;40;21;26;55;24;28;17;74;26;58;31;86;28;58;17;84;45;70;29;67;26;48;39;75;27;26;24;61;19;46;12;34;22;36;10;23;20;30;18;24;30;30;18;32;19;25;20;25;15;22;18;41;13;41;21;29;8;48;31;33;31;48;25
Šentrupert;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;10;4;11;3;4;0;6;1;1;2;3;1;3;0;3;0;7;7;6;6;4;1;5;1;5;3;7;0;3;2;9;2;4;3;1;1;7;0;12;2;1;0
Škocjan;0;2;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;3;0;3;2;2;2;2;3;2;1;1;5;2;4;0;4;1;9;4;1;0;2;1;6;3;25;0;5;3;13;4;3;3;27;2;12;3;16;0;22;2;15;3;9;2;5;0;16;3;5;3;4;2;4;0;5;3;4;1;5;1;4;2;5;6;8;4;8;3
Škofja Loka;11;8;3;1;6;4;3;2;3;2;3;5;33;21;74;17;65;9;23;10;56;18;24;6;62;16;27;19;70;36;51;28;62;25;31;18;56;21;80;10;60;29;50;13;51;24;33;22;163;52;49;31;203;60;48;33;134;54;116;30;52;48;38;25;64;56;42;25;61;43;52;28;44;33;45;29;48;36;52;46;76;49;55;30;59;46;66;64;71;43;63;49
Škofljica;1;0;1;0;0;1;0;0;4;0;0;0;1;5;8;8;1;3;2;0;7;9;14;4;5;11;1;1;11;11;4;4;14;9;13;5;8;3;6;5;11;1;11;5;29;5;11;8;51;11;14;11;92;17;19;7;115;26;38;9;42;26;41;13;33;29;36;16;28;26;38;21;27;24;24;13;19;15;41;27;36;29;40;27;42;15;32;31;71;30;50;29
Šmarje pri Jelšah;2;7;4;1;4;5;1;6;2;1;2;2;6;8;0;1;4;7;6;6;4;4;6;6;7;4;4;4;14;6;4;9;7;3;5;6;9;3;6;2;9;6;3;5;12;15;3;8;28;8;17;5;39;11;13;6;55;15;33;6;19;8;34;15;15;11;12;9;23;14;13;13;16;18;20;8;7;4;15;15;18;17;19;15;9;16;24;21;39;12;19;12
Šmarješke Toplice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;2;33;2;49;4;9;1;25;3;25;4;4;10;10;4;3;5;5;2;1;6;5;3;7;3;5;3;6;5;6;4;1;2;8;6;8;1;3;6;7;2;1;3
Šmartno ob Paki;3;1;0;0;0;0;0;0;0;0;0;0;3;3;3;0;3;2;0;0;3;1;10;4;1;0;0;0;6;1;1;0;2;2;1;2;3;3;2;1;6;6;2;2;14;5;6;2;14;6;8;7;15;9;2;1;26;6;16;3;8;7;13;8;10;3;5;1;4;2;5;0;5;5;11;7;7;5;5;7;3;5;6;5;5;4;6;9;1;1;6;9
Šmartno pri Litiji;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;5;5;3;0;8;3;2;1;1;3;6;2;6;5;21;4;3;3;21;6;5;2;10;1;9;3;6;3;7;6;4;6;4;5;2;3;2;5;4;10;5;4;2;0;10;4;5;1;9;4;4;6;9;3;9;7;4;8
Šoštanj;6;8;2;0;1;0;1;2;2;2;1;1;12;15;4;2;3;5;2;2;8;6;9;3;8;2;0;4;26;10;9;8;24;15;9;12;58;8;47;9;130;3;41;6;178;7;122;6;191;6;104;6;181;14;48;5;176;25;100;11;63;13;98;10;46;18;49;8;54;25;34;9;118;35;34;13;36;23;98;20;46;30;63;15;30;22;32;21;56;24;45;18
Štore;3;4;0;0;1;2;0;0;2;0;1;1;3;5;32;7;5;1;1;3;51;4;14;6;40;3;38;0;25;6;13;7;32;4;21;7;18;5;38;1;35;4;28;2;78;0;47;3;108;1;53;1;122;8;47;10;99;15;81;2;27;8;32;6;15;6;13;4;18;16;27;8;14;8;31;12;13;14;9;8;14;11;19;16;13;7;13;13;16;11;19;17
Tabor;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;0;4;3;5;3;6;6;0;3;21;3;4;3;19;2;7;4;13;2;24;5;14;10;9;7;7;6;6;5;9;7;7;6;7;2;5;1;10;5;12;0;1;4;2;5;1;2;3;2;2;3;3;1;2;1;1;5;1;0;1;3;1;2;3;3;1;0;1;3;1;1;5;6
Tišina;0;1;1;1;1;0;0;0;1;2;4;3;1;1;0;0;1;0;1;2;0;2;2;1;1;0;1;2;0;0;1;0;2;0;6;2;0;1;0;0;2;1;0;0;1;2;1;3;4;1;10;4;5;3;6;1;4;2;3;3;2;2;2;3;3;10;4;4;5;3;12;12;1;3;5;5;6;0;9;5;4;1;5;2;1;2;4;7;2;1;9;8
Tolmin;11;3;1;0;2;4;0;0;1;3;3;2;18;11;16;5;36;6;34;5;36;8;11;4;43;9;76;3;27;14;18;9;39;14;11;8;56;12;38;7;64;13;37;8;101;27;63;12;125;29;53;22;123;30;28;15;97;39;62;17;32;16;45;15;37;30;30;8;43;33;31;20;23;26;33;13;27;12;30;31;41;25;32;28;32;28;28;23;46;20;44;29
Trbovlje;8;7;6;6;7;8;2;3;2;6;4;2;48;19;25;19;53;10;26;10;38;13;19;10;49;25;3;12;79;31;64;42;76;29;46;40;64;20;69;11;70;24;50;14;46;19;48;8;100;39;49;27;109;54;32;15;99;52;73;25;43;24;58;24;41;22;59;21;40;34;31;23;19;34;69;49;32;26;66;30;67;33;41;35;35;23;58;43;49;38;61;44
Trebnje;2;2;2;2;4;1;1;1;1;0;1;3;11;4;27;6;1;2;6;5;20;3;9;4;34;9;8;7;31;15;21;12;43;12;6;5;77;14;36;11;98;14;44;7;161;14;100;4;241;21;89;17;364;25;63;18;388;48;244;14;109;28;152;20;65;27;74;14;57;29;77;26;50;26;42;14;57;25;35;20;54;23;51;15;87;36;41;18;108;39;36;19
Trnovska vas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;2;1;1;0;2;2;1;0;1;0;1;1;0;4;1;2;4;0;1;5;0;1;1;0;1;1;0;1;4;4;2;1;0;0;4;1;1;3;6;3;1;0;5;1;1;11;7;4;2;4;3;1;0;0;1;1;1;3;0
Trzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;2;3;8;5;1;4;7;2;4;3;8;6;7;1;5;7;3;5;8;5;5;5;12;6;7;7;12;2;14;9;13;6;6;9;34;11;4;6;53;8;32;6;24;10;27;6;13;11;26;16;14;7;12;14;23;18;18;10;23;15;20;19;12;17;20;14;22;15;18;12;21;10;22;12
Tržiè;10;6;1;4;3;7;3;0;3;4;0;1;19;9;20;12;17;4;14;7;10;8;12;13;21;8;13;10;19;14;20;13;17;13;17;24;18;5;23;13;25;18;18;14;44;10;20;15;77;16;67;29;93;34;40;24;74;22;49;17;60;30;55;35;39;33;69;29;40;40;59;52;34;28;59;48;22;37;51;47;49;37;55;51;33;26;69;39;42;36;56;37
Turnišèe;0;1;0;0;0;1;0;1;0;1;0;2;0;0;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;5;2;4;1;2;0;2;1;2;0;0;1;1;0;0;2;1;0;0;4;2;0;0;6;4;2;1;1;2;5;6;3;0;4;2;3;8;4;6;2;2;29;23;1;1;7;4;7;0;2;6;4;3;5;6;2;6;12;6;7;3;8;13
Velenje;22;14;6;2;11;5;8;6;9;7;9;7;101;31;219;43;199;17;54;28;164;35;45;10;169;38;164;27;232;36;214;41;235;53;109;80;206;50;209;40;420;55;244;36;571;62;326;33;889;93;279;66;692;119;206;59;660;192;463;85;206;123;329;76;163;82;155;74;203;132;167;80;249;143;155;107;168;150;249;133;203;162;252;134;272;134;227;175;306;160;320;149
Velika Polana;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;3;2;0;1;2;0;0;0;1;1;3;0;2;3;1;3;2;1;0;7;7;0;2;13;5;2;2;4;3;4;1;4;3;1;1;3;0;2;5;1;0
Velike Lašèe;0;0;4;3;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;2;0;1;5;4;7;0;4;0;4;1;1;2;25;0;2;3;28;0;32;0;24;4;8;3;31;2;12;0;26;1;22;2;34;5;1;2;17;4;13;3;7;3;7;3;7;5;13;0;5;3;12;3;7;4;8;2;2;1;4;3;7;7;3;5;8;3;10;1;7;3;11;3
Veržej;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;2;0;0;1;2;0;0;0;1;1;0;1;0;2;1;3;3;2;0;2;2;1;0;2;2;0;1;0;1;1;1;2;4;1;2;2;1;5;3;1;3;2;0;3;2;3;5;2;2;3;1;3;1;0;1;3;3;2;1;2;4;0;1;3;5;1;2;3;2;2;3;4;1
Videm;2;3;1;1;1;3;1;0;1;2;2;0;3;1;2;1;0;1;1;0;0;3;1;0;0;1;4;2;2;2;5;2;0;2;3;4;20;14;14;14;25;19;23;11;37;18;29;18;28;6;9;11;40;7;13;6;26;3;34;8;20;6;19;6;15;11;11;10;23;5;28;19;12;4;16;23;14;4;21;20;7;6;11;11;22;4;11;11;30;13;15;11
Vipava;0;2;0;0;0;2;0;1;1;3;1;1;0;7;0;1;5;4;0;0;1;5;6;5;3;1;2;3;11;5;4;5;15;6;2;1;8;11;9;9;15;2;10;3;39;4;21;9;47;9;23;11;41;10;17;10;61;15;19;9;21;8;38;3;25;15;18;4;16;11;21;15;13;6;13;3;11;9;21;3;12;5;21;17;39;31;25;15;35;16;28;21
Vitanje;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;2;1;5;4;0;0;0;0;3;1;0;1;0;1;0;0;13;2;6;3;36;1;15;0;24;3;5;2;20;0;16;0;6;1;4;0;10;0;3;1;7;2;8;2;7;0;4;1;12;4;1;0;23;1;10;1;24;1;6;2;25;1;9;4
Vodice;1;3;0;1;0;1;1;0;1;0;1;0;2;3;1;0;0;0;1;2;1;3;5;3;1;3;0;1;7;6;2;0;3;3;1;1;1;1;3;3;1;2;3;1;1;3;4;2;10;3;2;6;18;7;2;6;38;5;9;4;22;2;26;6;20;7;24;4;18;2;12;6;19;4;13;2;14;1;11;5;26;9;8;7;15;4;4;11;26;5;18;14
Vojnik;0;1;0;2;0;0;4;2;0;0;5;1;4;19;10;11;2;4;2;1;6;6;1;0;3;3;2;1;18;19;15;18;22;15;6;8;27;7;33;2;31;11;34;10;38;12;26;8;39;13;18;13;55;11;27;22;50;19;40;7;27;5;30;11;13;6;13;5;9;13;12;11;7;12;12;3;23;19;6;4;9;6;14;10;10;6;8;9;18;11;13;13
Vransko;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;2;2;1;9;2;3;3;44;1;26;1;51;2;7;5;40;4;8;5;3;1;48;3;16;3;25;0;28;2;20;1;35;6;20;2;12;1;13;2;27;3;6;2;2;4;10;2;5;4;4;1;3;1;5;9;3;0;6;2;6;3;5;6;3;4;7;6;0;1;3;0;3;3;3;7
Vrhnika;4;6;0;5;4;6;13;10;3;3;5;5;14;7;25;5;26;4;8;9;55;16;34;14;57;19;56;2;45;14;35;33;60;17;25;12;57;16;63;15;95;15;64;25;108;32;129;24;160;36;63;21;212;62;45;15;190;77;109;33;79;47;102;37;61;32;67;37;59;41;55;24;60;30;44;32;64;51;71;28;68;39;73;40;94;41;66;27;111;53;99;47
Vuzenica;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;3;0;0;1;0;1;1;1;0;0;0;1;1;0;3;2;2;0;4;2;0;0;0;1;0;5;0;5;1;5;3;20;1;6;1;24;5;8;3;4;2;11;5;3;3;7;0;4;3;3;6;15;3;6;6;4;1;11;6;0;5;7;5;3;4;4;2;3;1;3;6;4;2;5;4
Zagorje ob Savi;16;8;1;0;2;3;0;1;2;1;4;0;10;15;15;8;3;0;7;3;11;4;14;10;39;3;13;7;54;17;27;25;39;20;21;25;13;7;58;6;23;13;19;6;25;10;15;7;57;18;40;39;79;37;21;18;65;26;41;23;38;21;40;21;27;20;34;18;27;20;38;15;32;21;33;24;19;28;35;21;22;19;40;33;27;17;36;32;29;16;56;43
Zavrè;5;9;1;0;1;3;0;1;2;2;2;0;4;4;4;4;2;3;2;1;1;3;0;0;9;2;2;4;11;4;5;3;3;2;5;5;2;7;1;0;2;6;2;6;9;8;2;0;14;6;4;2;16;10;3;6;76;10;11;6;44;6;28;9;58;5;23;4;122;8;36;4;143;5;67;18;85;6;102;6;82;8;56;7;131;6;42;8;62;11;81;6
Zreèe;2;0;0;1;0;0;0;0;0;0;0;0;3;7;2;0;2;1;6;3;5;5;12;3;8;5;12;9;17;8;6;5;15;6;8;5;6;2;8;5;18;9;10;4;52;4;21;7;126;14;40;7;112;11;40;10;57;10;48;4;31;7;42;12;42;11;19;15;40;10;27;18;19;11;21;11;26;10;14;5;36;17;21;7;50;9;30;14;63;17;15;13
Žalec;20;10;7;4;4;12;13;8;5;3;8;11;25;30;85;25;18;14;23;8;33;30;43;17;118;65;97;43;163;86;128;48;112;81;58;42;97;73;72;67;194;104;130;44;275;127;232;90;333;136;138;99;256;56;79;40;249;84;171;44;116;79;101;35;101;41;64;38;96;52;91;86;75;50;81;46;53;49;78;56;96;59;72;36;92;54;87;68;105;50;117;70
Železniki;0;0;0;0;0;1;0;1;1;1;0;0;1;4;4;3;2;0;1;2;1;4;6;7;4;7;0;3;7;11;3;12;7;5;8;5;6;4;1;2;3;6;3;4;7;3;1;2;9;4;2;3;23;8;2;4;18;16;20;4;7;3;6;4;7;5;5;4;8;6;10;3;13;8;10;5;9;10;9;4;5;6;11;8;1;3;12;7;9;11;1;5
Žetale;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;0;0;2;1;0;0;0;0;4;0;3;4;2;0;4;1;0;1;2;1;2;3;1;1;2;3;4;2;1;1;4;4;1;1;3;3;1;1;3;3;1;1;2;2;2;0;1;1
Žiri;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;3;0;0;0;1;4;3;1;0;4;4;7;1;4;1;1;1;2;0;4;0;1;2;1;2;2;1;1;2;4;4;4;0;3;3;2;2;10;6;6;2;10;6;7;6;9;4;8;4;9;8;9;4;4;1;5;8;9;0;3;3;7;1;6;1;10;3;10;2;25;3;9;2
Žirovnica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;2;2;7;3;2;0;5;3;1;2;5;5;10;2;4;3;1;3;4;2;6;4;11;6;10;3;2;3;4;3;11;7;3;9;16;4;3;1;17;10;10;3;9;7;10;3;7;11;6;8;5;5;12;13;4;5;15;10;1;5;11;14;4;6;12;5;7;2;9;8;7;4;14;15
Žužemberk;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;0;1;0;3;0;3;0;0;1;2;4;5;10;1;2;1;1;1;3;2;1;4;1;2;1;4;3;1;4;10;2;2;1;11;3;2;2;8;2;6;3;3;1;2;0;2;0;1;1;3;3;9;5;6;1;2;1;3;1;2;3;5;3;2;3;4;4;7;3;3;1;4;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vir: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistièni urad Republike Slovenije. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e=9518 target=_blank) Metodološka pojasnila ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Podatki so teritorialno razvršèeni po uredbi o Standardni ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
klasifikaciji teritorialnih enot ((seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven SKTE 5. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Podatki o spremembah posameznih obèin so dostopni na (seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
